business_id	positive	negative	name	city	stars	review_count	categories	positive_frac	negative_frac
--cZ6Hhc9F7VkKXxHMVZSQ	217	83	b'Pio Pio'	Charlotte	4.0	299	['Restaurants', 'Peruvian', 'Spanish', 'Latin American']	0.725752508361204	0.27759197324414714
-I27yVw2x_-31_OOMSH02w	143	40	b'Local Loaf'	Charlotte	4.0	183	['Food', 'Bakeries', 'American (Traditional)', 'Breakfast & Brunch', 'Delis', 'American (New)', 'Sandwiches', 'Restaurants']	0.7814207650273224	0.2185792349726776
10tJuB_YkVQWuk4PtoI7iA	186	46	b'Intermezzo Pizzeria and Cafe'	Charlotte	4.0	231	['Cafes', 'Restaurants', 'Pizza']	0.8051948051948052	0.19913419913419914
110iMPMPEEjFlf8HKVq84g	182	65	b'131 Main'	Charlotte	4.0	247	['American (New)', 'Restaurants']	0.7368421052631579	0.2631578947368421
1FlIbmN4aNJuXsGK0shnfQ	161	86	b'Leroy Fox'	Charlotte	3.5	247	['Southern', 'Soul Food', 'Restaurants', 'American (New)', 'Sandwiches']	0.6518218623481782	0.3481781376518219
1Geg7R5ACFL0oassVziNiQ	161	77	b'Crispy Crepe'	Charlotte	4.0	238	['Cafes', 'Breakfast & Brunch', 'Bakeries', 'Food', 'Creperies', 'Restaurants']	0.6764705882352942	0.3235294117647059
1MvR4NJQbHy0i7ME1IoYpw	157	94	"b""Beef 'N Bottle"""	Charlotte	3.5	251	['Restaurants', 'Seafood', 'Steakhouses']	0.6254980079681275	0.3745019920318725
1_jvFRQjcRVfd9LdOLvI8A	140	111	b'R\xc3\xad R\xc3\xa1 Irish Pub'	Charlotte	3.5	250	['Restaurants', 'Bars', 'Irish', 'Nightlife', 'Pubs']	0.56	0.444
22MYhTXwSXaS4rW2VOrR-w	293	36	b'Jasmine Grill'	Charlotte	4.5	328	['Mediterranean', 'Restaurants', 'Middle Eastern', 'Halal']	0.8932926829268293	0.10975609756097561
2S6p5ICNswz_EdgcZk76qQ	186	77	"b""Duckworth's Grill & Taphouse"""	Charlotte	4.0	262	['American (New)', 'American (Traditional)', 'Beer', 'Wine & Spirits', 'Nightlife', 'Bars', 'Restaurants', 'Food', 'Beer Bar']	0.7099236641221374	0.29389312977099236
2um9bzTSvD3f2tkdBoA38g	163	62	b'Kid Cashew'	Charlotte	4.0	225	['Barbeque', 'American (New)', 'Mediterranean', 'Tapas/Small Plates', 'Restaurants']	0.7244444444444444	0.27555555555555555
3CG7oBD_k85M8jJ_JlhL-A	158	135	b'The Penguin Drive-In'	Charlotte	3.0	293	['Restaurants', 'American (Traditional)', 'Diners']	0.5392491467576792	0.46075085324232085
3b14ebd1k9y7VJbp5hC0gg	172	53	b'Beaudevin'	Charlotte	4.0	225	['Wine Bars', 'Restaurants', 'Wineries', 'Bars', 'Arts & Entertainment', 'Tapas/Small Plates', 'Food', 'Nightlife', 'Sandwiches']	0.7644444444444445	0.23555555555555555
3vkP6t_kKN3JT8MMUaBVEA	166	41	b'Original Pancake House'	Charlotte	4.0	207	['Breakfast & Brunch', 'Restaurants', 'Kosher', 'American (Traditional)', 'Creperies']	0.8019323671497585	0.19806763285024154
42TGx8KatGNPCi7rwOzazg	156	46	b'Verde Mexican and Nuevo Latin Fusion'	Huntersville	4.0	202	['Restaurants', 'Latin American', 'Mexican']	0.7722772277227723	0.22772277227722773
4vDffQ7eSQ7n39cyroOSKQ	179	134	b'Crave Dessert Bar'	Charlotte	3.5	313	['Hookah Bars', 'Food', 'Lounges', 'Nightlife', 'Desserts', 'Bars']	0.5718849840255591	0.4281150159744409
56HZLqQOcS1FSXqYG-3vLg	258	35	b'US National Whitewater Center'	Charlotte	4.5	292	['Active Life', 'Hiking', 'Community Service/Non-Profit', 'Bike Rentals', 'Rafting/Kayaking', 'Mountain Biking', 'Rock Climbing', 'Local Services']	0.8835616438356164	0.11986301369863013
57aBx6Mo_VRk_kMA8J5Efg	166	30	b'Taqueria La Unica'	Indian Trail	4.5	196	['Restaurants', 'Mexican']	0.8469387755102041	0.15306122448979592
5fquJHY2hMX9tPRD5s0t5g	239	88	"b""Rooster's Uptown"""	Charlotte	4.0	327	['French', 'Restaurants', 'Italian', 'American (New)']	0.7308868501529052	0.2691131498470948
5q6Xh-UcJa78bp6dzyaE7w	304	37	b'Duck Donuts'	Charlotte	4.5	341	['Donuts', 'Restaurants', 'Coffee & Tea', 'Breakfast & Brunch', 'Food']	0.8914956011730205	0.10850439882697947
6hZgMg9rnDCC0RBVRlkZwQ	172	37	b'Mr Tokyo Japanese Restaurant'	Charlotte	4.5	209	['Japanese', 'Food', 'Desserts', 'Sushi Bars', 'Restaurants', 'Salad']	0.8229665071770335	0.17703349282296652
6kq9oLduJAYkb2WjAb36KA	269	19	"b""Le's Sandwiches & Cafe"""	Charlotte	4.5	288	['Restaurants', 'Vietnamese', 'Sandwiches']	0.9340277777777778	0.06597222222222222
6zi7dAlnk7vgvlGbUMoKkA	111	85	b'Maverick Rock Taco'	Charlotte	3.5	196	['Bars', 'Nightlife', 'Restaurants', 'Mexican']	0.5663265306122449	0.4336734693877551
88TyKo52CRajXHxWlS5eEQ	157	16	b'Royal Cafe & Creperie'	Matthews	4.5	173	['Restaurants', 'Creperies', 'Breakfast & Brunch', 'Cafes']	0.9075144508670521	0.09248554913294797
8T5JnB9qL5y8RaCHH5zKSQ	146	55	b'Bean Vegan Cuisine'	Charlotte	4.0	202	['Gluten-Free', 'Comfort Food', 'Vegan', 'Vegetarian', 'Restaurants']	0.7227722772277227	0.2722772277227723
8nmjvYX4N67cxOsGfbEgjg	97	209	b'Studio Movie Grill'	Charlotte	2.5	307	['Cinema', 'Nightlife', 'Arts & Entertainment', 'Restaurants', 'Bars', 'American (New)', 'American (Traditional)']	0.31596091205211724	0.6807817589576547
8rtd2ZoeNMHjCQQnWuZ-bQ	137	56	b'Famous Toastery'	Davidson	4.0	193	['Breakfast & Brunch', 'Bars', 'Nightlife', 'Restaurants', 'American (New)']	0.7098445595854922	0.29015544041450775
8yEFijvcNQ9JIGVWc3EgUw	154	24	b'Central Coffee Company'	Charlotte	4.5	178	['Coffee & Tea', 'Food']	0.8651685393258427	0.1348314606741573
99j5vhhtFJIefXDLsmA29Q	182	28	b'Inizio Pizza Napoletana'	Charlotte	4.5	210	['Pizza', 'Italian', 'Salad', 'Gelato', 'Restaurants', 'Food']	0.8666666666666667	0.13333333333333333
9TCzxlrOZSIFcBlvHIUgFA	150	28	b'PePeRo'	Matthews	4.0	178	['Grocery', 'Restaurants', 'Food', 'Korean']	0.8426966292134831	0.15730337078651685
9dqdzRzjSfbnMvjUGqWBAw	327	173	b'Midnight Diner'	Charlotte	4.0	500	['Restaurants', 'Breakfast & Brunch', 'American (Traditional)', 'Diners']	0.654	0.346
ADgacmZ-qXrSOhMfU6bmTA	305	201	b'5Church'	Charlotte	3.5	507	['Food', 'Restaurants', 'American (New)', 'Breakfast & Brunch', 'Desserts', 'Nightlife', 'Cocktail Bars', 'Bars']	0.6015779092702169	0.39644970414201186
ALwAlxItASeEs2vYAeLXHA	479	115	b'Futo Buta'	Charlotte	4.0	594	['Restaurants', 'Asian Fusion', 'Japanese', 'Ramen']	0.8063973063973064	0.1936026936026936
ATMiPNPxN-g1ra7nar5prA	126	76	"b""Fleming's Prime Steakhouse & Wine Bar"""	Charlotte	3.5	202	['Salad', 'Nightlife', 'Wine Bars', 'Restaurants', 'Steakhouses', 'Bars']	0.6237623762376238	0.37623762376237624
AY4qBdRtkShnjiPTdlxw_A	138	131	b'Big View Diner'	Charlotte	3.0	269	['Diners', 'Breakfast & Brunch', 'Beer', 'Wine & Spirits', 'Bakeries', 'Food', 'American (Traditional)', 'Restaurants']	0.5130111524163569	0.48698884758364314
Abm-1HRGPyevBtnC3Rpxag	127	141	b'Rock Bottom Restaurant & Brewery'	Charlotte	3.5	268	['Pubs', 'Nightlife', 'Sandwiches', 'Pizza', 'American (Traditional)', 'American (New)', 'Restaurants', 'Bars']	0.47388059701492535	0.5261194029850746
Ac52FTELfKifOWT4WOafpQ	129	77	b'Blue Restaurant & Bar'	Charlotte	3.5	206	['Restaurants', 'Mediterranean', 'Nightlife', 'Bars', 'Jazz & Blues', 'American (New)', 'Wine Bars', 'Arts & Entertainment']	0.6262135922330098	0.3737864077669903
AuIiqDeL65kczmiFSkAWrA	174	84	"b""Maggiano's Little Italy"""	Charlotte	3.5	258	['Bars', 'Italian', 'Restaurants', 'Nightlife']	0.6744186046511628	0.32558139534883723
Ch7NAhB_MWSDwcNbcptEKg	270	103	b'Mimosa Grill'	Charlotte	4.0	372	['American (New)', 'Southern', 'Restaurants']	0.7258064516129032	0.2768817204301075
CxsN79g8rZoouLwZvr_FVg	195	57	b'Fern'	Charlotte	4.0	252	['Restaurants', 'Vegan', 'Vegetarian']	0.7738095238095238	0.2261904761904762
D2ojX9bvE0_-aIj9BhdZZA	398	104	b'300 East'	Charlotte	4.0	502	['Seafood', 'Pizza', 'Restaurants', 'Wine Bars', 'Bars', 'Breakfast & Brunch', 'American (New)', 'Sandwiches', 'Nightlife']	0.7928286852589641	0.20717131474103587
DMwU0igEs9K7XuI3utsr6g	40	245	b'Tequileria'	Charlotte	2.0	285	['American (Traditional)', 'Mexican', 'Restaurants']	0.14035087719298245	0.8596491228070176
DyOzNIeXUksPNLXYHnB-oQ	509	74	b'Sabor Latin Street Grill'	Charlotte	4.5	582	['Restaurants', 'Street Vendors', 'Latin American', 'Food', 'Mexican']	0.8745704467353952	0.12714776632302405
E0HOsxXZ_o6ocemK57BoWA	123	98	b'A Piece Of Havana'	Charlotte	3.5	221	['Cuban', 'Restaurants']	0.5565610859728507	0.4434389140271493
E0TK141YMBP0LBknhVKEqw	240	67	b'Cr\xc3\xaape Cellar'	Charlotte	4.0	307	['Restaurants', 'Gastropubs', 'American (New)', 'Creperies', 'Sandwiches', 'Modern European']	0.7817589576547231	0.2182410423452769
E0vZWNBWe-LwdECQFIjnug	132	92	"b""Boardwalk Billy's Raw Bar And Ribs"""	Charlotte	3.5	223	['Diners', 'Sandwiches', 'Sports Bars', 'Nightlife', 'Bars', 'Barbeque', 'Restaurants', 'American (Traditional)']	0.5919282511210763	0.4125560538116592
E3BTs8yFlVbZd20TknY00A	174	62	"b""Jim 'N Nick's Bar-B-Q"""	Charlotte	4.0	236	['Caterers', 'Restaurants', 'Barbeque', 'Event Planning & Services']	0.7372881355932204	0.2627118644067797
ES0ijQ-KlNPUoXl4tK1tDQ	146	35	b'SouthPark'	Charlotte	4.0	181	['Shopping', 'Fashion', 'Department Stores', 'Shopping Centers']	0.8066298342541437	0.19337016574585636
EvWGuX0eqKcZvLRgtIFHZg	182	46	"b""Eddie's Place"""	Charlotte	4.0	228	['Breakfast & Brunch', 'American (Traditional)', 'Nightlife', 'Bars', 'Restaurants']	0.7982456140350878	0.20175438596491227
ExtP8z3SVyut_RICc9i_DA	165	39	b'Zeitouni Grill'	Charlotte	4.5	205	['Middle Eastern', 'Restaurants', 'Lebanese', 'Mediterranean']	0.8048780487804879	0.1902439024390244
F1CCt2Gl6qpOB73mXi5anA	219	59	"b""Duckworth's Grill & Taphouse"""	Huntersville	4.0	276	['Nightlife', 'Gastropubs', 'Sports Bars', 'Bars', 'Restaurants']	0.7934782608695652	0.213768115942029
F1odkZWmcXGylij8HjRq6Q	257	34	b'VBGB Beer Hall and Garden'	Charlotte	4.5	291	['Music Venues', 'Arts & Entertainment', 'American (New)', 'German', 'Bars', 'Beer Gardens', 'Beer', 'Wine & Spirits', 'Food', 'Pretzels', 'Restaurants', 'Nightlife']	0.8831615120274914	0.11683848797250859
FBSWwaE6gR7KAOyG1QhakQ	164	63	b'Block & Grinder'	Charlotte	4.0	227	['Bars', 'Restaurants', 'Cocktail Bars', 'Food', 'American (New)', 'Butcher', 'Nightlife']	0.7224669603524229	0.2775330396475771
FGy4UJ1Qri_KruPZiPmWYQ	250	29	b'Viva Chicken'	Charlotte	4.5	279	['Event Planning & Services', 'Restaurants', 'Peruvian', 'Caterers']	0.8960573476702509	0.1039426523297491
FKOF8_OMvoPoDHOplDd7tQ	192	62	b'Kickstand Burgers & Bar'	Charlotte	4.0	254	['Bars', 'Burgers', 'Nightlife', 'Restaurants']	0.7559055118110236	0.2440944881889764
G_LtZnL66Iwama_7_FCLUQ	145	92	b'Baku'	Charlotte	4.0	238	['Tapas/Small Plates', 'Restaurants', 'Japanese', 'Sushi Bars', 'Asian Fusion']	0.6092436974789915	0.3865546218487395
H9a6IRS0edhW343Y2kXSSA	185	149	b'The Liberty'	Charlotte	3.5	334	['Restaurants', 'Gastropubs', 'Burgers']	0.5538922155688623	0.44610778443113774
I6Xa5eF9Jv9VM6ms_dkY8A	150	38	b'Ilios Noche'	Charlotte	4.0	188	['Restaurants', 'Mediterranean', 'Nightlife', 'Greek', 'Bars']	0.7978723404255319	0.20212765957446807
ICUCAzUZFiWkYs7iCtNCQg	192	103	b'Copper'	Charlotte	4.0	295	['Wine Bars', 'Pakistani', 'Indian', 'Restaurants', 'Nightlife', 'Bars']	0.6508474576271186	0.34915254237288135
J3_FTjy9LAtTtoW_cLwPxg	137	75	b'CO'	Charlotte	3.5	212	['Restaurants', 'Vietnamese', 'Asian Fusion', 'Korean', 'Sushi Bars']	0.6462264150943396	0.35377358490566035
JogUSDKa1xyG3lLEmD4Xjg	164	50	b'Fiamma'	Charlotte	4.0	214	['Italian', 'Restaurants']	0.7663551401869159	0.2336448598130841
K0dw5NpZ_Ow1Dl8oQWsX4w	175	61	b'Cafe 100'	Huntersville	4.0	236	['Restaurants', 'Cafes', 'Breakfast & Brunch', 'American (New)']	0.7415254237288136	0.2584745762711864
KEGLWeFAWXvo0W2LnujhtQ	208	55	b'Lang Van Vietnamese'	Charlotte	4.0	263	['Vietnamese', 'Restaurants']	0.7908745247148289	0.20912547528517111
KbLI0QELlAwbfDUVwo43DQ	162	60	b'Cajun Yard Dog'	Charlotte	4.0	222	['Salad', 'American (New)', 'Cajun/Creole', 'Restaurants']	0.7297297297297297	0.2702702702702703
