68	224719,0.944758756711|271659,0.940757148542|265627,0.939677208087|209385,0.938572947577|271656,0.938338198676|270597,0.936194407118|273201,0.936099493337|265884,0.935647334571|261303,0.934906196319|249601,0.934215290421
7168	224719,0.894479663904|214338,0.891289371207|247674,0.890594924621|261962,0.888165392902|263690,0.886668171064|53321,0.886176102308|143706,0.886062070317|224908,0.884444893293|270426,0.883384348401|125765,0.8828491371
2051	224719,0.953191802|265627,0.949363948002|62662,0.946152141302|250733,0.945963543469|269945,0.944856291315|202461,0.944120143302|261962,0.943800189303|214338,0.943727548227|272073,0.943665014444|271659,0.943152281518
4100	265884,0.897835554685|224719,0.897180915355|217020,0.895074700838|47247,0.894043978411|161784,0.891067972322|231547,0.888752037239|270186,0.888202889307|261348,0.887758620597|7631,0.887529730115|240480,0.887154412214
8534	271656,0.927550870146|270597,0.926771200452|209385,0.924812206924|268578,0.922371891618|261303,0.921607120006|224719,0.92004329001|217905,0.919976134742|265627,0.918797015705|259622,0.917657952388|168431,0.917653478779
7	269945,0.899348836815|62662,0.896096325262|224719,0.894178629628|250733,0.893040923808|271889,0.892198993476|265627,0.890862323115|214338,0.890295843177|272073,0.889181228668|125765,0.888686058959|129380,0.888321046161
4104	224719,0.939431414894|271659,0.933800387481|217020,0.933158395156|247674,0.933131070148|265627,0.93157008968|202461,0.931558207828|214338,0.930946250151|261962,0.930572760452|53321,0.929608134924|143706,0.928843781514
1705	224719,0.887411966549|269945,0.885590817043|265627,0.883656286448|62662,0.883632463228|129380,0.88073189205|214338,0.880606689534|247674,0.879637381689|271656,0.878575431523|250733,0.878461902239|271889,0.877146240183
4106	224719,0.912598279599|265627,0.906613397151|250733,0.905166919692|272073,0.903448521546|62662,0.901669245985|266876,0.901586882868|270186,0.901382790948|202461,0.901007287761|261962,0.899989363704|67063,0.899064830681
7511	224719,0.946462385673|270186,0.942265953226|265627,0.940464078585|272073,0.939112717303|271659,0.93874462105|250733,0.938323755654|67063,0.9372012291|269169,0.93716567242|265884,0.936588258159|47247,0.936510509464
10252	224719,0.90696577183|265627,0.905603666897|271656,0.904383165468|273201,0.899395618485|250733,0.899289804669|209385,0.898673175133|272073,0.897972871958|270597,0.897424011393|271659,0.896475209297|270186,0.894995640823
4092	224719,0.919424742864|265627,0.914171677316|250733,0.910456436934|271656,0.910266853324|269945,0.910236422232|129380,0.910166212637|209385,0.91015731871|271659,0.909895686866|214338,0.909638866474|272073,0.908331832057
6159	224719,0.932188544706|265884,0.93120084844|217020,0.930263104715|271659,0.928387915352|201427,0.927330282935|249601,0.92679065169|47247,0.925452668284|265627,0.924840229031|231547,0.924435691271|240480,0.924158080568
16	224719,0.949096981271|62662,0.946485038144|269945,0.945888324912|265627,0.945574284844|214338,0.943618330002|247674,0.943365263768|125765,0.94198324384|250733,0.941688625056|129380,0.940999627516|261962,0.940373656637
5464	224719,0.95071848678|265627,0.946347326806|250733,0.944808773269|270186,0.944408848536|272073,0.944293632139|67063,0.940781049323|202461,0.940612558554|269169,0.940028117997|271659,0.939822073563|261962,0.939790287051
6147	224719,0.940582298184|265627,0.935219050656|202461,0.932200976621|271659,0.931877132096|62662,0.930191692272|247674,0.930011809929|261962,0.929945158372|217020,0.929668936189|214338,0.929162300025|223473,0.928172271833
24	224719,0.905669721506|271656,0.904741827901|270597,0.90440021255|209385,0.9027327609|271659,0.902056188236|265627,0.901441813306|168431,0.901285116792|273201,0.899744176671|261303,0.89822492474|249601,0.897616844268
10244	224719,0.833940393817|271659,0.831407143807|209385,0.830170089894|271656,0.827117162579|261303,0.825132957913|265627,0.825022807934|217905,0.823940670823|268578,0.822506274086|270597,0.822010715773|168431,0.821200530436
28	265884,0.934403468807|217020,0.933469410732|224719,0.931442163498|201427,0.929433192739|47247,0.928547530772|243731,0.928404872647|240480,0.927958020181|231547,0.927286749046|161784,0.926719037397|249601,0.924876294173
10269	224719,0.869169238822|270186,0.863617897767|265884,0.86276473391|47247,0.862401656277|217020,0.861068794981|265627,0.859107802046|261348,0.858420310983|250733,0.858309578474|272073,0.858103320845|67063,0.857774821007
4127	224719,0.911289930986|265627,0.907200360034|270186,0.904766797691|250733,0.902309891513|272073,0.901743665361|265884,0.900554356321|47247,0.899942314662|266876,0.899937893707|223473,0.899650077889|7631,0.899445151551
1774	224719,0.937402320502|250733,0.936623676858|265627,0.935849769615|272073,0.935053997779|270186,0.933398166369|62662,0.933320358801|269945,0.93167034722|266876,0.931491141454|188122,0.929393927985|271219,0.928183379572
10274	270597,0.901100569304|271656,0.891192516635|231797,0.889041931318|169071,0.888760838733|222845,0.888251881936|272667,0.887892074985|270822,0.887512763213|268578,0.886852579947|209385,0.886777519975|180269,0.885744485371
6179	224719,0.88282528261|265627,0.878655644444|271656,0.872689291442|271659,0.871269383085|250733,0.870950806631|62662,0.870542829178|209385,0.869553878252|202461,0.868942887282|272073,0.867704034278|273201,0.867671611706
10277	209385,0.899156073736|271656,0.898880060659|271659,0.898512727085|168431,0.89774491792|224719,0.897095915947|270597,0.896295535451|249601,0.894918861812|261303,0.894250271692|273017,0.893599088164|217905,0.89332352614
6183	224719,0.962780030875|217020,0.959183069926|271659,0.958517426718|265884,0.957329486368|265627,0.95729870207|202461,0.956723075223|201427,0.955775095765|47247,0.955133182815|243731,0.954917128606|261962,0.954381501134
10283	266424,0.916106918526|209385,0.915533833407|271656,0.914802592994|129380,0.914031172204|268578,0.91314070214|224719,0.912672791141|217905,0.912498497817|261303,0.911611727534|271996,0.911339735696|269995,0.911133826722
44	265627,0.91597916387|271656,0.915455426252|224719,0.915385661781|270186,0.915149388928|250733,0.914835955393|272073,0.913688224614|272667,0.912890972649|266876,0.910102778503|270597,0.909999879033|268748,0.909018418054
6834	270186,0.885782926188|224719,0.88467978418|265627,0.880255045353|272073,0.877994541005|250733,0.877132265343|269820,0.875718445475|271656,0.874178182631|273201,0.873132495102|209656,0.873092392938|271659,0.872959765563
10286	224719,0.912975309833|62662,0.912871069864|265627,0.911312225116|269945,0.909105512295|250733,0.907619300039|270286,0.906477125622|250967,0.906187749699|266876,0.903585004716|241624,0.903520722443|272073,0.903299526756
10289	266876,0.930454760415|250967,0.929312198717|264226,0.926422114087|224719,0.926288201522|265627,0.925355913026|251186,0.924391103376|250733,0.924269220663|62662,0.924090634469|271219,0.923916974098|270186,0.923796840103
8243	224719,0.941650639032|265627,0.936704670266|271659,0.932278803846|250733,0.93223883204|202461,0.931454474492|272073,0.930600689711|261962,0.930078337936|223473,0.928766366133|62662,0.92854931425|271656,0.927284776506
2100	224719,0.909809794843|265627,0.903845984189|271659,0.902684308162|271656,0.900276261974|209385,0.900119610577|202461,0.896584521392|250733,0.896491295488|272073,0.895221607624|261303,0.894907076622|223473,0.893830533874
4149	271656,0.883968367835|270597,0.881549907811|209385,0.880432844515|224719,0.878598304078|265627,0.876495423781|261303,0.875885850062|168431,0.874200529525|268578,0.87410258049|217905,0.873010854518|273201,0.872237850014
4152	224719,0.93577537295|265627,0.927735851783|217020,0.927486891838|265884,0.926709477105|271659,0.926468970323|202461,0.926356472674|261962,0.926197710615|47247,0.925878015274|214338,0.923255998338|247674,0.922998551706
2105	243731,0.765560116357|217020,0.76047700665|201427,0.756143377752|264294,0.750384237726|265884,0.750309352258|267886,0.748680229587|231547,0.746748288786|113509,0.746058783485|240480,0.745628712517|272714,0.744757424114
6202	269945,0.912585909818|62662,0.91095184384|271889,0.90629642255|224719,0.905344656809|250733,0.904698760548|250967,0.904424872378|265627,0.904190055498|270286,0.903451698056|269839,0.901726367209|214338,0.901294099148
6203	224719,0.941791151991|265627,0.940506263632|209385,0.940304672317|270597,0.939932768701|261303,0.93677775477|250733,0.936387705725|273201,0.935458967296|268578,0.935094139425|272073,0.934586865789|271659,0.934331761958
3548	224719,0.865585803886|265627,0.860200979425|62662,0.858420072329|202461,0.855113279144|266876,0.854166983561|217020,0.853202097351|250733,0.852705723615|199888,0.852664078828|223473,0.851804299868|250967,0.851033837236
61	224719,0.906779184973|265627,0.902200903659|250733,0.901080456023|272073,0.899205736418|62662,0.896877636417|269945,0.895554890518|270186,0.89410608907|261962,0.892893694204|266876,0.89250051803|202461,0.892209597444
2110	62662,0.885758120359|224719,0.885001465584|265627,0.882061486922|268748,0.880751694546|270286,0.878773176401|241624,0.878042799317|271889,0.877530590738|269945,0.877285591534|271656,0.875848558514|247674,0.875794735889
10303	224719,0.889528451323|265627,0.88277728455|271659,0.882602964308|217020,0.879386484459|249601,0.878501222006|47247,0.878321974354|202461,0.877291586432|271656,0.876509798493|273201,0.876177890809|209385,0.875813535878
4160	224719,0.91602512294|270186,0.914254540867|265627,0.913693786343|250733,0.912528258864|272073,0.911816985078|271656,0.906250555697|266876,0.905864634484|188122,0.904129096309|62662,0.904066651766|273201,0.90405308585
4164	224719,0.966385981523|265627,0.964604207939|250733,0.964070630435|272073,0.963215211203|270186,0.962126942053|62662,0.960568333537|266876,0.959454908107|269945,0.958658706558|271656,0.95848688338|188122,0.9583157546
2389	224719,0.97183675075|271656,0.969628317756|209385,0.969334512037|265627,0.969316900626|271659,0.968086919367|261303,0.966923514127|270597,0.966553926111|250733,0.965902786261|268578,0.965582037755|273201,0.965489895722
4449	271656,0.94228952807|209385,0.941264324032|270597,0.939364422658|224719,0.938874573855|261303,0.937633604728|168431,0.937261816464|271659,0.93705775326|217905,0.936919411628|268578,0.936321643078|265627,0.935900555041
4168	247674,0.880907628383|224719,0.878105283297|129380,0.876496525639|143706,0.875740539631|214338,0.8755243154|271659,0.875162260688|267436,0.874697785993|209385,0.873886620491|271996,0.873634125002|158997,0.873542369152
10313	224719,0.900844073614|271656,0.90045511726|209385,0.899563868953|265627,0.896516696493|270597,0.895794159766|261303,0.89515469186|271659,0.894888830511|268578,0.893659034734|217905,0.893254000035|168431,0.890521422428
10314	224719,0.921093110841|62662,0.920632733702|265627,0.916504834279|271889,0.91513445154|269945,0.913647149116|269472,0.913580311416|270286,0.913536200329|202461,0.913159486102|250967,0.913141996743|199888,0.912825162619
4172	224719,0.896933625033|269945,0.896506617764|62662,0.89558828483|265627,0.894162038025|271656,0.891226003431|129380,0.890894945359|214338,0.890445346811|247674,0.889770068651|271889,0.889620554843|250733,0.8882735616
6223	62662,0.830946300839|269945,0.830128541353|250733,0.828968557559|265627,0.827883827783|250967,0.827147696985|224719,0.826839982218|268748,0.824986104|248025,0.824957875527|272073,0.824932004766|270286,0.824584655728
2130	224719,0.906475502695|265627,0.905355071791|62662,0.903229850241|271656,0.901280369925|268748,0.900527413081|250733,0.898801788593|270286,0.898062325503|250967,0.897303376681|266876,0.89569677975|272051,0.895622157218
86	271656,0.937950612684|224719,0.936291653842|209385,0.935355480399|270597,0.934937507194|265627,0.934257975936|261303,0.931561058765|271659,0.930771876547|273201,0.930332690249|168431,0.930211952115|268578,0.929217509906
10327	224719,0.913905602449|265627,0.907490204033|271659,0.905893383003|202461,0.905022722229|217020,0.903876930203|247674,0.903392841534|62662,0.901883227049|261962,0.901015334082|214338,0.900857949451|223473,0.899621709828
3794	271656,0.939260731262|209385,0.938081223623|224719,0.937037875841|270597,0.935872958135|261303,0.934645530628|265627,0.934264349227|268578,0.934191598684|217905,0.933511151359|271659,0.932327393048|168431,0.930808658284
